Date,Team_A,Team_B,Winner,Margin,Venue
17/04/2015,Bangladesh,Pakistan,Bangladesh,wonby79runs,ShereBanglaNationalStadium
19/04/2015,Bangladesh,Pakistan,Bangladesh,wonby7wickets,ShereBanglaNationalStadium
22/04/2015,Bangladesh,Pakistan,Bangladesh,wonby8wickets,ShereBanglaNationalStadium
08/05/2015,Ireland,England,Noresult,Noresult,TheVillage
26/05/2015,Pakistan,Zimbabwe,Pakistan,wonby41runs,GaddafiStadium
29/05/2015,Pakistan,Zimbabwe,Pakistan,wonby6wickets,GaddafiStadium
31/05/2015,Pakistan,Zimbabwe,Noresult,Noresult,GaddafiStadium
09/06/2015,England,New Zealand,England,wonby210runs,Edgbaston
12/06/2015,England,New Zealand,New Zealand,wonby13runs,KenningtonOval
14/06/2015,England,New Zealand,New Zealand,wonby3wickets,TheRoseBowl
17/06/2015,England,New Zealand,England,wonby7wickets,TrentBridge
18/06/2015,Bangladesh,India,Bangladesh,wonby79runs,ShereBanglaNationalStadium
20/06/2015,England,New Zealand,England,wonby3wickets,RiversideGround
21/06/2015,Bangladesh,India,Bangladesh,wonby6wickets,ShereBanglaNationalStadium
24/06/2015,Bangladesh,India,India,wonby77runs,ShereBanglaNationalStadium
10/07/2015,Bangladesh,South Africa,South Africa,wonby8wickets,ShereBanglaNationalStadium
10/07/2015,Zimbabwe,India,India,wonby4runs,HarareSportsClub
11/07/2015,SriLanka,Pakistan,Pakistan,wonby6wickets,RangiriDambullaInternationalStadium
12/07/2015,Bangladesh,South Africa,Bangladesh,wonby7wickets,ShereBanglaNationalStadium
12/07/2015,Zimbabwe,India,India,wonby62runs,HarareSportsClub
14/07/2015,Zimbabwe,India,India,wonby83runs,HarareSportsClub
15/07/2015,Bangladesh,South Africa,Bangladesh,wonby9wickets,ZahurAhmedChowdhuryStadium
15/07/2015,SriLanka,Pakistan,SriLanka,wonby2wickets,PallekeleInternationalCricketStadium
19/07/2015,SriLanka,Pakistan,Pakistan,wonby135runs,RPremadasaStadium
22/07/2015,SriLanka,Pakistan,Pakistan,wonby7wickets,RPremadasaStadium
26/07/2015,SriLanka,Pakistan,SriLanka,wonby165runs,MahindaRajapakshaInternationalCricketStadium
02/08/2015,Zimbabwe,New Zealand,Zimbabwe,wonby7wickets,HarareSportsClub
04/08/2015,Zimbabwe,New Zealand,New Zealand,wonby10wickets,HarareSportsClub
07/08/2015,Zimbabwe,New Zealand,New Zealand,wonby38runs,HarareSportsClub
19/08/2015,South Africa,New Zealand,South Africa,wonby20runs,SuperSportPark
23/08/2015,South Africa,New Zealand,New Zealand,wonby8wickets,SenwesPark
26/08/2015,South Africa,New Zealand,South Africa,wonby62runs,Kingsmead
27/08/2015,Ireland,Australia,Australia,wonby23runs,CivilServiceCricketClub
03/09/2015,England,Australia,Australia,wonby59runs,TheRoseBowl
05/09/2015,England,Australia,Australia,wonby64runs,Lord's
08/09/2015,England,Australia,England,wonby93runs,OldTrafford
11/09/2015,England,Australia,England,wonby3wickets,Headingley
12/09/2015,England,Australia,Australia,wonby8wickets,OldTrafford
01/10/2015,Zimbabwe,Pakistan,Pakistan,wonby131runs,HarareSportsClub
03/10/2015,Zimbabwe,Pakistan,Zimbabwe,wonby5runs,HarareSportsClub
05/10/2015,Zimbabwe,Pakistan,Pakistan,wonby7wickets,HarareSportsClub
14/10/2015,India,South Africa,India,wonby22runs,HolkarCricketStadium
16/10/2015,Zimbabwe,Afghanistan,Zimbabwe,wonby8wickets,QueensSportsClub
18/10/2015,India,South Africa,South Africa,South Africawonby18runs,SaurashtraCricketAssociationStadium
18/10/2015,Zimbabwe,Afghanistan,Afghanistan,wonby58runs,QueensSportsClub
20/10/2015,Zimbabwe,Afghanistan,Zimbabwe,Zimbabwewonby6wickets,QueensSportsClub
22/10/2015,India,South Africa,India,Indiawonby35runs,MAChidambaramStadium
22/10/2015,Zimbabwe,Afghanistan,Afghanistan,Afghanistanwonby3wickets,QueensSportsClub
24/10/2015,Zimbabwe,Afghanistan,Afghanistan,Afghanistanwonby73runs,QueensSportsClub
25/10/2015,India,South Africa,South Africa,South Africawonby214runs,WankhedeStadium
01/11/2015,SriLanka,WestIndies,SriLanka,SriLankawonby1wicket,RPremadasaStadium
04/11/2015,SriLanka,WestIndies,SriLanka,SriLankawonby8wickets,RPremadasaStadium
07/11/2015,Bangladesh,Zimbabwe,Bangladesh,Bangladeshwonby145runs,ShereBanglaNationalStadium
07/11/2015,SriLanka,WestIndies,SriLanka,SriLankawonby19runs,PallekeleInternationalCricketStadium
09/11/2015,Bangladesh,Zimbabwe,Bangladesh,Bangladeshwonby58runs,ShereBanglaNationalStadium
11/11/2015,Bangladesh,Zimbabwe,Bangladesh,Bangladeshwonby61runs,ShereBanglaNationalStadium
11/11/2015,Pakistan,England,Pakistan,Pakistanwonby6wickets,SheikhZayedStadium
13/11/2015,Pakistan,England,England,Englandwonby95runs,SheikhZayedStadium
17/11/2015,Pakistan,England,England,Englandwonby6wickets,SharjahCricketStadium
20/11/2015,Pakistan,England,England,Englandwonby84runs,DubaiInternationalCricketStadium
25/12/2015,Afghanistan,Zimbabwe,Afghanistan,Afghanistanwonby49runs,SharjahCricketStadium
26/12/2015,New Zealand,SriLanka,New Zealand,New Zealandwonby7wickets,HagleyOval
28/12/2015,New Zealand,SriLanka,New Zealand,New Zealandwonby10wickets,HagleyOval
29/12/2015,Afghanistan,Zimbabwe,Afghanistan,Afghanistanwonby4wickets,SharjahCricketStadium
31/12/2015,New Zealand,SriLanka,SriLanka,SriLankawonby8wickets,SaxtonOval
02/01/2016,Afghanistan,Zimbabwe,Zimbabwe,wonby117runs,SharjahCricketStadium
02/01/2016,New Zealand,SriLanka,Noresult,Noresult,SaxtonOval
04/01/2016,Afghanistan,Zimbabwe,Zimbabwe,wonby65runs,SharjahCricketStadium
05/01/2016,New Zealand,SriLanka,New Zealand,wonby36runs,BayOval
06/01/2016,Afghanistan,Zimbabwe,Afghanistan,wonby2wickets,SharjahCricketStadium
12/01/2016,Australia,India,Australia,wonby5wickets,WACAGround
15/01/2016,Australia,India,Australia,wonby7wickets,BrisbaneCricketGround
20/01/2016,Australia,India,Australia,wonby25runs,ManukaOval
23/01/2016,Australia,India,India,wonby6wickets,SydneyCricketGround
25/01/2016,New Zealand,Pakistan,New Zealand,wonby70runs,BasinReserve
28/01/2016,New Zealand,Pakistan,Matchabandoned,Matchabandoned,McLeanPark
31/01/2016,New Zealand,Pakistan,New Zealand,wonby3wickets,EdenPark
03/02/2016,New Zealand,Australia,New Zealand,wonby159runs,EdenPark
03/02/2016,South Africa,England,England,wonby39runs,MangaungOval
06/02/2016,New Zealand,Australia,Australia,wonby4wickets,SkyStadium
06/02/2016,South Africa,England,England,wonby5wickets,StGeorge'sPark
08/02/2016,New Zealand,Australia,New Zealand,wonby55runs,SeddonPark
09/02/2016,South Africa,England,South Africa,wonby7wickets,SuperSportPark
12/02/2016,South Africa,England,South Africa,wonby1wicket,WanderersStadium
14/02/2016,South Africa,England,South Africa,wonby5wickets,Newlands
05/06/2016,WestIndies,Australia,Australia,wonby6wickets,ProvidenceStadium
07/06/2016,Australia,South Africa,South Africa,wonby47runs,ProvidenceStadium
11/06/2016,Australia,South Africa,Australia,wonby36runs,WarnerPark
11/06/2016,Zimbabwe,India,India,wonby9wickets,HarareSportsClub
13/06/2016,WestIndies,Australia,WestIndies,wonby4wickets,WarnerPark
13/06/2016,Zimbabwe,India,India,wonby8wickets,HarareSportsClub
15/06/2016,WestIndies,South Africa,South Africa,wonby139runs,WarnerPark
15/06/2016,Zimbabwe,India,India,wonby10wickets,HarareSportsClub
16/06/2016,Ireland,SriLanka,SriLanka,wonby76runs,TheVillage
18/06/2016,Ireland,SriLanka,SriLanka,wonby136runs,TheVillage
19/06/2016,Australia,South Africa,Noresult,Noresult,KensingtonOval
21/06/2016,England,SriLanka,MatchTied,MatchTied,TrentBridge
21/06/2016,WestIndies,Australia,Australia,wonby6wickets,KensingtonOval
24/06/2016,England,SriLanka,England,wonby10wickets,Edgbaston
24/06/2016,WestIndies,South Africa,WestIndies,wonby100runs,KensingtonOval
26/06/2016,England,SriLanka,Noresult,Noresult,CountyGround(Bristol)
26/06/2016,WestIndies,Australia,Australia,wonby58runs,KensingtonOval
29/06/2016,England,SriLanka,England,wonby6wickets,KenningtonOval
02/07/2016,England,SriLanka,England,wonby122runs,SophiaGardens
04/07/2016,Scotland,Afghanistan,Noresult,Noresult,GrangeCricketClub
06/07/2016,Scotland,Afghanistan,Afghanistan,wonby78runs,GrangeCricketClub
10/07/2016,Ireland,Afghanistan,Matchabandoned,Matchabandoned,CivilServiceCricketClub
12/07/2016,Ireland,Afghanistan,Afghanistan,wonby39runs,CivilServiceCricketClub
14/07/2016,Ireland,Afghanistan,Ireland,wonby6wickets,CivilServiceCricketClub
17/07/2016,Ireland,Afghanistan,Afghanistan,wonby79runs,CivilServiceCricketClub
19/07/2016,Ireland,Afghanistan,Ireland,wonby12runs,CivilServiceCricketClub
18/08/2016,Ireland,Pakistan,Pakistan,wonby255runs,TheVillage
20/08/2016,Ireland,Pakistan,Matchabandoned,Matchabandoned,TheVillage
21/08/2016,SriLanka,Australia,Australia,wonby3wickets,RPremadasaStadium
24/08/2016,England,Pakistan,England,wonby44runs,TheRoseBowl
24/08/2016,SriLanka,Australia,SriLanka,wonby82runs,RPremadasaStadium
27/08/2016,England,Pakistan,England,wonby4wickets,Lord's
28/08/2016,SriLanka,Australia,Australia,wonby2wickets,RangiriDambullaInternationalStadium
30/08/2016,England,Pakistan,England,wonby169runs,TrentBridge
31/08/2016,SriLanka,Australia,Australia,wonby6wickets,RangiriDambullaInternationalStadium
01/09/2016,England,Pakistan,England,wonby4wickets,Headingley
04/09/2016,England,Pakistan,Pakistan,wonby4wickets,SophiaGardens
04/09/2016,SriLanka,Australia,Australia,wonby5wickets,PallekeleInternationalCricketStadium
25/09/2016,Bangladesh,Afghanistan,Bangladesh,wonby7runs,ShereBanglaNationalStadium
25/09/2016,South Africa,Ireland,South Africa,wonby206runs,WillowmoorePark
27/09/2016,Australia,Ireland,Australia,wonby9wickets,WillowmoorePark
28/09/2016,Bangladesh,Afghanistan,Afghanistan,wonby2wickets,ShereBanglaNationalStadium
30/09/2016,Pakistan,WestIndies,Pakistan,wonby111runs,SharjahCricketStadium
30/09/2016,South Africa,Australia,South Africa,wonby6wickets,SuperSportPark
01/10/2016,Bangladesh,Afghanistan,Bangladesh,wonby141runs,ShereBanglaNationalStadium
02/10/2016,Pakistan,WestIndies,Pakistan,wonby59runs,SharjahCricketStadium
02/10/2016,South Africa,Australia,South Africa,wonby142runs,WanderersStadium
05/10/2016,Pakistan,WestIndies,Pakistan,wonby136runs,SheikhZayedStadium
05/10/2016,South Africa,Australia,South Africa,wonby4wickets,Kingsmead
07/10/2016,Bangladesh,England,England,wonby21runs,ShereBanglaNationalStadium
08/10/2016,South Africa,Australia,South Africa,wonby6wickets,StGeorge'sPark
09/10/2016,Bangladesh,England,Bangladesh,wonby34runs,ShereBanglaNationalStadium
12/10/2016,Bangladesh,England,England,wonby4wickets,ZahurAhmedChowdhuryStadium
12/10/2016,South Africa,Australia,South Africa,wonby31runs,Newlands
16/10/2016,India,New Zealand,India,wonby6wickets,HimachalPradeshCricketAssociationStadium
20/10/2016,India,New Zealand,New Zealand,wonby6runs,ArunJaitleyStadium
23/10/2016,India,New Zealand,India,wonby7wickets,PunjabCricketAssociationISBindraStadium
26/10/2016,India,New Zealand,New Zealand,wonby19runs,JSCAInternationalStadiumComplex
29/10/2016,India,New Zealand,India,wonby190runs,DrYSRajasekharaReddyCricketStadium
14/11/2016,Zimbabwe,SriLanka,SriLanka,wonby8wickets,HarareSportsClub
16/11/2016,SriLanka,WestIndies,WestIndies,wonby62runs,HarareSportsClub
19/11/2016,Zimbabwe,WestIndies,MatchTied,MatchTied,QueensSportsClub
21/11/2016,Zimbabwe,SriLanka,Noresult,Noresult,QueensSportsClub
23/11/2016,SriLanka,WestIndies,SriLanka,wonby1run,QueensSportsClub
25/11/2016,Zimbabwe,WestIndies,Zimbabwe,wonby5runs,QueensSportsClub
27/11/2016,Zimbabwe,SriLanka,SriLanka,wonby6wickets,QueensSportsClub
04/12/2016,Australia,New Zealand,Australia,wonby68runs,SydneyCricketGround
06/12/2016,Australia,New Zealand,Australia,wonby116runs,ManukaOval
09/12/2016,Australia,New Zealand,Australia,wonby117runs,MelbourneCricketGround
26/12/2016,New Zealand,Bangladesh,New Zealand,wonby77runs,HagleyOval
29/12/2016,New Zealand,Bangladesh,New Zealand,wonby67runs,SaxtonOval
31/12/2016,New Zealand,Bangladesh,New Zealand,wonby8wickets,SaxtonOval
13/01/2017,Australia,Pakistan,Australia,wonby92runs,BrisbaneCricketGround
15/01/2017,India,England,India,wonby3wickets,MaharashtraCricketAssociationStadium
15/01/2017,Australia,Pakistan,Pakistan,wonby6wickets,MelbourneCricketGround
19/01/2017,Australia,Pakistan,Australia,wonby7wickets,WACAGround
19/01/2017,India,England,India,wonby15runs,BarabatiStadium
22/01/2017,India,England,England,wonby5runs,EdenGardens
22/01/2017,Australia,Pakistan,Australia,wonby86runs,SydneyCricketGround
26/01/2017,Australia,Pakistan,Australia,wonby57runs,AdelaideOval
28/01/2017,South Africa,SriLanka,South Africa,wonby8wickets,StGeorge'sPark
30/01/2017,New Zealand,Australia,New Zealand,wonby6runs,EdenPark
01/02/2017,South Africa,SriLanka,South Africa,wonby121runs,Kingsmead
02/02/2017,New Zealand,Australia,Matchabandoned,Matchabandoned,McLeanPark
04/02/2017,South Africa,SriLanka,South Africa,wonby7wickets,WanderersStadium
05/02/2017,New Zealand,Australia,New Zealand,wonby24runs,SeddonPark
07/02/2017,South Africa,SriLanka,South Africa,wonby40runs,Newlands
10/02/2017,South Africa,SriLanka,South Africa,wonby88runs,SuperSportPark
16/02/2017,Zimbabwe,Afghanistan,Afghanistan,wonby12runs,HarareSportsClub
19/02/2017,New Zealand,South Africa,South Africa,wonby4wickets,SeddonPark
19/02/2017,Zimbabwe,Afghanistan,Afghanistan,wonby54runs,HarareSportsClub
21/02/2017,Zimbabwe,Afghanistan,Zimbabwe,wonby3runs,HarareSportsClub
22/02/2017,New Zealand,South Africa,New Zealand,wonby6runs,HagleyOval
24/02/2017,Zimbabwe,Afghanistan,Zimbabwe,wonby7wickets,HarareSportsClub
25/02/2017,New Zealand,South Africa,South Africa,wonby159runs,SkyStadium
26/02/2017,Zimbabwe,Afghanistan,Afghanistan,wonby106runs,HarareSportsClub
01/03/2017,New Zealand,South Africa,New Zealand,wonby7wickets,SeddonPark
03/03/2017,WestIndies,England,England,wonby45runs,SirVivianRichardsStadium
04/03/2017,New Zealand,South Africa,South Africa,wonby6wickets,EdenPark
05/03/2017,WestIndies,England,England,wonby4wickets,SirVivianRichardsStadium
09/03/2017,WestIndies,England,England,wonby186runs,KensingtonOval
15/03/2017,Afghanistan,Ireland,Afghanistan,wonby30runs,GreaterNoidaSportsComplexGround
17/03/2017,Afghanistan,Ireland,Afghanistan,wonby34runs,GreaterNoidaSportsComplexGround
19/03/2017,Afghanistan,Ireland,RepublicofIreland,wonby6wickets,GreaterNoidaSportsComplexGround
22/03/2017,Afghanistan,Ireland,RepublicofIreland,wonby3wickets,GreaterNoidaSportsComplexGround
24/03/2017,Afghanistan,Ireland,Afghanistan,wonby7wickets,GreaterNoidaSportsComplexGround
25/03/2017,SriLanka,Bangladesh,Bangladesh,wonby90runs,RangiriDambullaInternationalStadium
28/03/2017,SriLanka,Bangladesh,Noresult,Noresult,RangiriDambullaInternationalStadium
01/04/2017,SriLanka,Bangladesh,SriLanka,wonby70runs,SinhaleseSportsClubGround
07/04/2017,WestIndies,Pakistan,WestIndies,wonby4wickets,ProvidenceStadium
09/04/2017,WestIndies,Pakistan,Pakistan,wonby74runs,ProvidenceStadium
11/04/2017,WestIndies,Pakistan,Pakistan,wonby6wickets,ProvidenceStadium
05/05/2017,England,Ireland,England,wonby7wickets,CountyGround(Bristol)
07/05/2017,England,Ireland,England,wonby85runs,Lord's
12/05/2017,Ireland,Bangladesh,Noresult,Noresult,TheVillage
14/05/2017,Ireland,New Zealand,New Zealand,wonby51runs,TheVillage
17/05/2017,Bangladesh,New Zealand,New Zealand,wonby4wickets,CastleAvenue
19/05/2017,Ireland,Bangladesh,Bangladesh,wonby8wickets,TheVillage
21/05/2017,Ireland,New Zealand,New Zealand,wonby190runs,TheVillage
24/05/2017,Bangladesh,New Zealand,Bangladesh,wonby5wickets,CastleAvenue
24/05/2017,England,South Africa,England,wonby72runs,Headingley
27/05/2017,England,South Africa,England,wonby2runs,TheRoseBowl
29/05/2017,England,South Africa,South Africa,wonby7wickets,Lord's
01/06/2017,England,Bangladesh,England,wonby8wickets,KenningtonOval
02/06/2017,Australia,New Zealand,Noresult,Noresult,Edgbaston
03/06/2017,SriLanka,South Africa,South Africa,wonby96runs,KenningtonOval
04/06/2017,India,Pakistan,India,wonby124runs,Edgbaston
05/06/2017,Australia,Bangladesh,Noresult,Noresult,KenningtonOval
06/06/2017,England,New Zealand,England,wonby87runs,SophiaGardens
07/06/2017,Pakistan,South Africa,Pakistan,wonby19runs,Edgbaston
08/06/2017,India,SriLanka,SriLanka,wonby7wickets,KenningtonOval
09/06/2017,New Zealand,Bangladesh,Bangladesh,wonby5wickets,SophiaGardens
09/06/2017,WestIndies,Afghanistan,Afghanistan,wonby63runs,DarenSammyNationalCricketStadium
10/06/2017,England,Australia,England,wonby40runs,Edgbaston
11/06/2017,India,South Africa,India,wonby8wickets,KenningtonOval
11/06/2017,WestIndies,Afghanistan,WestIndies,wonby4wickets,DarenSammyNationalCricketStadium
12/06/2017,SriLanka,Pakistan,Pakistan,wonby3wickets,SophiaGardens
14/06/2017,England,Pakistan,Pakistan,wonby8wickets,SophiaGardens
14/06/2017,WestIndies,Afghanistan,Noresult,Noresult,DarenSammyNationalCricketStadium
15/06/2017,Bangladesh,India,India,wonby9wickets,Edgbaston
18/06/2017,India,Pakistan,Pakistan,wonby180runs,KenningtonOval
23/06/2017,WestIndies,India,Noresult,Noresult,Queen'sParkOval
25/06/2017,WestIndies,India,India,wonby105runs,Queen'sParkOval
30/06/2017,SriLanka,Zimbabwe,Zimbabwe,wonby6wickets,GalleInternationalStadium
30/06/2017,WestIndies,India,India,wonby93runs,SirVivianRichardsStadium
02/07/2017,SriLanka,Zimbabwe,SriLanka,wonby7wickets,GalleInternationalStadium
02/07/2017,WestIndies,India,WestIndies,wonby11runs,SirVivianRichardsStadium
06/07/2017,SriLanka,Zimbabwe,SriLanka,wonby8wickets,MahindaRajapakshaInternationalCricketStadium
06/07/2017,WestIndies,India,India,wonby8wickets,SabinaPark
08/07/2017,SriLanka,Zimbabwe,Zimbabwe,wonby4wickets,MahindaRajapakshaInternationalCricketStadium
10/07/2017,SriLanka,Zimbabwe,Zimbabwe,wonby3wickets,MahindaRajapakshaInternationalCricketStadium
20/08/2017,SriLanka,India,India,wonby9wickets,RangiriDambullaInternationalStadium
24/08/2017,SriLanka,India,India,wonby3wickets,PallekeleInternationalCricketStadium
27/08/2017,SriLanka,India,India,wonby6wickets,PallekeleInternationalCricketStadium
31/08/2017,SriLanka,India,India,wonby168runs,RPremadasaStadium
03/09/2017,SriLanka,India,India,wonby6wickets,RPremadasaStadium
17/09/2017,India,Australia,India,wonby26runs,MAChidambaramStadium
19/09/2017,England,WestIndies,England,wonby7wickets,OldTrafford
21/09/2017,India,Australia,India,wonby50runs,EdenGardens
21/09/2017,England,WestIndies,Noresult,Noresult,TrentBridge
24/09/2017,India,Australia,India,wonby5wickets,HolkarCricketStadium
24/09/2017,England,WestIndies,England,wonby124runs,CountyGround(Bristol)
27/09/2017,England,WestIndies,England,wonby6runs,KenningtonOval
28/09/2017,India,Australia,Australia,wonby21runs,MChinnaswamyStadium
29/09/2017,England,WestIndies,England,wonby9wickets,TheRoseBowl
01/10/2017,India,Australia,India,wonby7wickets,VidarbhaCricketAssociationStadium
13/10/2017,Pakistan,SriLanka,Pakistan,wonby83runs,DubaiInternationalCricketStadium
15/10/2017,South Africa,Bangladesh,South Africa,wonby10wickets,DiamondOval
16/10/2017,Pakistan,SriLanka,Pakistan,wonby32runs,SheikhZayedStadium
18/10/2017,Pakistan,SriLanka,Pakistan,wonby7wickets,SheikhZayedStadium
18/10/2017,South Africa,Bangladesh,South Africa,wonby104runs,BolandPark
20/10/2017,Pakistan,SriLanka,Pakistan,wonby7wickets,SharjahCricketStadium
22/10/2017,India,New Zealand,New Zealand,wonby6wickets,WankhedeStadium
22/10/2017,South Africa,Bangladesh,South Africa,wonby200runs,BuffaloPark
23/10/2017,Pakistan,SriLanka,Pakistan,wonby9wickets,SharjahCricketStadium
25/10/2017,India,New Zealand,India,wonby6wickets,MaharashtraCricketAssociationStadium
29/10/2017,India,New Zealand,India,wonby6runs,GreenPark
05/12/2017,Afghanistan,Ireland,Afghanistan,wonby4wickets,SharjahCricketStadium
07/12/2017,Afghanistan,Ireland,RepublicofIreland,wonby51runs,SharjahCricketStadium
10/12/2017,Afghanistan,Ireland,RepublicofIreland,wonby5wicketsp,SharjahCricketStadium
10/12/2017,India,SriLanka,SriLanka,wonby7wickets,HimachalPradeshCricketAssociationStadium
13/12/2017,India,SriLanka,India,wonby141runs,PunjabCricketAssociationISBindraStadium
17/12/2017,India,SriLanka,India,wonby8wickets,DrYSRajasekharaReddyCricketStadium
20/12/2017,New Zealand,WestIndies,New Zealand,wonby5wickets,CobhamOval(New)
23/12/2017,New Zealand,WestIndies,New Zealand,wonby204runs,HagleyOval
26/12/2017,New Zealand,WestIndies,New Zealand,wonby66runs,HagleyOval
06/01/2018,New Zealand,Pakistan,New Zealand,wonby61runs,BasinReserve
08/01/2018,New Zealand,Pakistan,New Zealand,wonby8wickets,SaxtonOval
13/01/2018,New Zealand,Pakistan,New Zealand,wonby183runs,UniversityOval
14/01/2018,Australia,England,England,wonby5wickets,MelbourneCricketGround
15/01/2018,Bangladesh,Zimbabwe,Bangladesh,wonby8wickets,ShereBanglaNationalStadium
16/01/2018,New Zealand,Pakistan,New Zealand,wonby5wickets,SeddonPark
17/01/2018,SriLanka,Zimbabwe,Zimbabwe,wonby12runs,ShereBanglaNationalStadium
18/01/2018,Australia,England,England,wonby4wickets,BrisbaneCricketGround
18/01/2018,New Zealand,Pakistan,New Zealand,wonby15runs,BasinReserve
19/01/2018,Bangladesh,SriLanka,Bangladesh,wonby163runs,ShereBanglaNationalStadium
21/01/2018,Australia,England,England,wonby16runs,SydneyCricketGround
21/01/2018,SriLanka,Zimbabwe,SriLanka,wonby5wickets,ShereBanglaNationalStadium
23/01/2018,Bangladesh,Zimbabwe,Bangladesh,wonby91runs,ShereBanglaNationalStadium
25/01/2018,Bangladesh,SriLanka,SriLanka,wonby10wickets,ShereBanglaNationalStadium
26/01/2018,Australia,England,Australia,wonby3wickets,AdelaideOval
27/01/2018,Bangladesh,SriLanka,SriLanka,wonby79runs,ShereBanglaNationalStadium
28/01/2018,Australia,England,England,wonby12runs,PerthStadium
01/02/2018,South Africa,India,India,wonby6wickets,Kingsmead
04/02/2018,South Africa,India,India,wonby9wickets,SuperSportPark
07/02/2018,South Africa,India,India,wonby124runs,Newlands
